0sec - 10sec;104
10sec - 20sec;5
20sec - 30sec;1
30sec - 40sec;1
40sec - 50sec;11
50sec - 60sec;4
60sec - 70sec;1
70sec - 80sec;1
80sec - 90sec;1
90sec - 100sec;9
100sec - 110sec;1
110sec - 120sec;1
120sec - 130sec;0
130sec - 140sec;1
140sec - 150sec;0
150sec - 160sec;0
160sec - 170sec;0
170sec - 180sec;0
180sec - 190sec;0
190sec - 200sec;0
200sec - 210sec;0
210sec - 220sec;0
220sec - 230sec;0
230sec - 240sec;0
240sec - 250sec;0
250sec - 260sec;3
260sec - 270sec;0
270sec - 280sec;0
280sec - 290sec;0
290sec - 300sec;0
300sec - 310sec;0
310sec - 320sec;0
320sec - 330sec;0
330sec - 340sec;0
